word,count
nlohmann,97
returns,97
we,97
container,97
c,96
v16,96
IteratorType,95
switch,95
v17,94
ValueType,93
exceptions,93
objects,92
v18,92
access,92
iterators,92
write_number,90
v19,90
:type,89
os,89
subtype,89
parse,89
which,88
empty,88
v20,88
invalid,87
num,87
parse_error,87
get_number,87
v21,86
double,84
v22,84
lhs,84
obj,83
called,82
v23,82
boolean,81
was,81
ptr_,80
v24,80
:object,80
:uint64_t,79
Args,79
given,78
v25,78
swap,78
U,77
:max,77
光城,76
v26,76
move,76
below,76
out,76
number_integer,76
:declval,76
does,75
member,75
5,75
number_float_t,74
CharType,74
begin,74
v27,74
author,74
object_t,74
list,73
type_error,73
v28,72
date,72
constructor,72
how,71
strict,71
m_type,71
_Pragma,71
7,71
unused,70
v29,70
all,70
insert,70
SAX,70
If,68
v30,68
9,68
stored,68
than,68
e,67
any,67
100,67
inline,67
BSON,66
v31,66
const_reference,66
:parse_error,66
serialize,66
o-,65
shape,65
p2,65
token,65
parser,65
allow_exceptions,65
NLOHMANN_JSON_PASTE2,65
friend,65
explicit,64
test,64
v32,64
check,64
CBOR,64
2^e,64
pos,64
JSON_HEDLEY_VERSION_ENCODE,62
v33,62
while,62
Constant,61
binary_t,61
buffer,61
fun,61
y,60
operator=,60
number_integer_t,60
v34,60
's,60
:char_traits,60
has,60
json_pointer,60
m_object,60
numbers,60
write_characters,59
follow,59
passed,59
NOLINT,59
have,58
:vector,58
arrays,58
v35,58
str,58
created,58
:forward,57
:cbor,57
I,57
circle,57
base,57
floating-point,57
:msgpack,56
It,56
ia,56
exceptionsafety,56
diyfp,56
guarantee,56
v36,56
set,55
number_unsigned,55
number_unsigned_t,55
output,54
v37,54
but,54
16,54
res,54
init,53
tparam,53
In,53
error_message,53
Test,53
count,53
initializer,53
Linear,52
UTF-8,52
v38,52
enable_if_t,52
when,52
\n,51
__cplusplus,51
map,51
:value_type,51
char_type,51
idx,50
alloc,50
v39,50
from_json,50
j.m_value.number_integer,50
erase,50
MessagePack,49
-1,49
copydoc,49
:uint32_t,49
:int32_t,49
warning,48
printf,48
pre,48
JSON_HEDLEY_GCC_VERSION_CHECK,48
NumberType,48
v40,48
should,48
last_token,47
pragma,47
serialization,47
control,47
shared_ptr,47
32,46
v41,46
into,46
converted,46
InputType,45
do,45
v42,44
foo,44
:is_same,44
JSON_HEDLEY_LIKELY,44
long,44
typedef,44
p1,44
UBJSON,44
k,44
:enable_if,44
decimal,44
valid,43
6,43
reference_token,43
JSON_HEDLEY_TI_CL6X_VERSION_CHECK,43
ref_stack.back,43
value_type,43
push_back,43
buf,43
parameter,43
+=,43
different,43
escaped,43
o,42
type_name,42
float,42
:uint16_t,42
v43,42
throws,42
invalid_iterator,42
ConstructibleArrayType,42
may,42
method,41
never,41
__TI_GNU_ATTRIBUTE_SUPPORT__,41
expected,41
:ubjson,41
seed,41
m_value.array-,41
thread,40
static_assert,40
instance,40
:pair,40
enum,40
v44,40
works,40
take,40
characters,40
there,40
s1,40
//error,40
codepoint,40
iter_impl,39
once,39
arr,39
library,39
For,39
same,39
specified,39
D,39
v45,38
print,38
array_t,38
order,38
derived,38
String,38
:value_t,38
tag_handler,37
adapter,37
RFC,37
found,37
++i,37
:ostream,37
indicating,37
i.e,37
callback,37
ignored,37
primitive,37
parsing,37
JSON_HEDLEY_INTEL_VERSION_CHECK,37
am,36
number_float,36
because,36
one,36
ScalarType,36
to_json,36
functions,36
id,36
attribute,36
:nlohmann,36
uint8_t,36
this-,36
is_object,36
system,36
JSON_HEDLEY_WARN_UNUSED_RESULT,36
:number_unsigned,36
chars_read,36
v46,36
construct,36
JSON_HEDLEY_NON_NULL,35
No-throw,35
data,35
such,35
:to_string,35
point,35
errors,35
call,35
t1,35
comparison,35
more,35
Animal,35
diagnostic,35
before,34
v47,34
mutex,34
m_value.object-,34
exponent,34
:number_float,34
:number_integer,34
is_array,34
state,34
LCOV_EXCL_LINE,34
strings,34
Container,33
tuple,33
w,33
parsed,33
is_detected_exact,33
catch,33
unique_ptr,33
write,33
id_,33
find,33
ptr-,33
JSON_HEDLEY_TI_CL430_VERSION_CHECK,33
args,33
equal,33
Note,33
difference_type,32
2^-e,32
:key_type,32
Cont,32
:binary,32
v48,32
const_iterator,32
next,32
C++,32
discarded,32
JSON_HEDLEY_TI_CL2000_VERSION_CHECK,32
out_of_range,32
start,32
reverse,32
compatible,31
h,31
JSON_HEDLEY_MCST_LCC_VERSION_CHECK,31
See,31
assignment,31
ensure_ascii,31
j.m_value.number_unsigned,31
second,31
:int_type,31
thrown,31
contains,31
initialized,31
Returns,31
:thread,31
1000000,31
:detail,31
:string_t,31
JSON_HEDLEY_TI_ARMCL_VERSION_CHECK,31
digits,30
v49,30
parent,30
exception_message,30
basic_json_t,30
r,30
between,30
__attribute__,30
msg,30
remove,30
:false_type,30
clang,29
after,29
wc,29
JSONSerializer,29
:int64_t,29
utf8_bytes,29
pause,29
__TI_COMPILER_VERSION__,29
1000,29
"13,0,0",29
ptr1,29
now,29
hasSerialize,29
tmp,29
literal,29
hash,29
hello,29
JSON_HEDLEY_MSVC_VERSION_CHECK,28
stream,28
v50,28
so,28
:null,28
representation,28
two,28
s2,28
JSON_HEDLEY_SUNPRO_VERSION_CHECK,28
:discarded,28
keys,28
M+,28
MyString,28
We,28
sdp,28
_data,28
follows,28
get_ptr,28
ok,27
ignore_comments,27
JSON_HEDLEY_ARM_VERSION_CHECK,27
JSON_HEDLEY_HAS_ATTRIBUTE,27
add_prefix,27
like,27
Person,27
:int8_t,27
types.,27
0x00,27
compiler,27
string_buffer,27
Key,26
"1,25,10",26
beginning,26
pair,26
char_int_type,26
op,26
otherwise,26
utility,26
:operator,26
m,26
v51,26
assert_invariant,26
Value,26
conversion,26
elem,26
X,25
endcode,25
bytes++,25
10^,25
3.8.0,25
json_value,25
changes,25
JSON_HEDLEY_TI_CL7X_VERSION_CHECK,25
Binary,25
done,25
local,25
:boolean,25
what_arg,25
f1,25
constant,25
element_type,25
position,25
goto,25
j.template,25
JSON_HEDLEY_DEPRECATED_FOR,25
delta,25
context,25
m_value,25
l,25
0x80,25
fit,25
who,25
Derived1,24
MyStringNoMove,24
then,24
uint,24
pow10,24
:iterator,24
t2,24
v52,24
serialized,24
Patch,24
sense,24
ctor,24
///===========================================,24
dump,24
ext,24
added,24
:out_of_range,24
2^,24
target,24
external_constructor,24
T1,23
bin,23
Type,23
behavior,23
related,23
:true_type,23
without,23
returned,23
try,23
10^-m,23
JSON_HEDLEY_DIAGNOSTIC_PUSH,23
JSON_HEDLEY_DIAGNOSTIC_POP,23
64,23
0xBF,23
m_lexer.get_position,23
binary_reader,23
json_reverse_iterator,23
path,23
initializer_list_t,23
message,23
to_string,23
replace,23
n't,23
deserialization,22
JSON_HEDLEY_HAS_WARNING,22
back,22
inside,22
lhs_type,22
belong,22
JSON_HEDLEY_INTEL_CL_VERSION_CHECK,22
fixext,22
cbor_tag_handler_t,22
step,22
Default,22
++it,22
size_type,22
serializer,22
also,22
algorithm,22
reading,22
JSON_HEDLEY_TI_CLPRU_VERSION_CHECK,22
:json,22
v53,22
2019-07-20,22
shape_type,22
Obj,22
http,21
checking,21
JSON_HEDLEY_DIAGNOSTIC_DISABLE_CPP98_COMPAT_WRAP_,21
get_binary,21
CompatibleType,21
EOF,21
unsupported,21
is_null,21
i++,21
JSON_HEDLEY_TI_VERSION_CHECK,21
:eof,21
'-,21
AllocatorType,21
Foo,21
PointerType,21
undefined,21
JSON_HEDLEY_IAR_VERSION_CHECK,21
compare,21
m_object-,21
3.0.0,21
unexpect_eof,21
:number_float_t,21
each,20
Derived2,20
handle_value,20
implementation,20
s\n,20
R,20
smart_ptr,20
JSON_HEDLEY_IBM_VERSION_CHECK,20
set_parents,20
override,20
internal,20
T2,20
302,20
8259,20
document,20
get_impl_ptr,20
nlohmann/detail/macro_scope.hpp,20
k-1,20
:number_integer_t,20
keep,20
"1,2,0",20
ull,20
.template,20
:binary_t,20
'\,20
v54,20
:number_unsigned_t,20
NaN,20
20-1-6,20
utf8_bytes_filled,20
convert,20
20,20
CompatibleArrayType,20
ConstructibleObjectType,20
~Base,20
pairs,20
:from_json,20
integers,19
reinterpret_cast,19
deprecated,19
JSON_HEDLEY_PGI_VERSION_CHECK,19
optional,19
instead,19
calling,19
both,19
would,19
lines,19
’,19
A\n,19
rhs_type,19
need,19
line,19
:allocator_traits,19
store,19
json_serializer,19
exists,19
a1,19
:bson,19
Strong,19
make,19
StringType,19
0x17,19
parse_event_t,19
ReferenceType,19
:istream,19
append,18
actual,18
.cpp,18
default_value,18
80,18
0x3Fu,18
its,18
lock_,18
0x80u,18
indentation,18
requirements,18
:min,18
could,18
Pointer,18
UnnamedType,18
via,18
Unsigned,18
stack,18
depth,18
.sax_parse,18
v55,18
signed,18
requirement,18
cnt,18
is_constructible,18
:enable_if_t,18
completed,18
Derived3,18
:add,18
0xf,18
greater,18
ArithmeticType,18
triangle,18
Fun,18
get_string,18
'\n,18
:input_adapter,18
‘,18
cend,18
An,18
FloatType,18
boolean_t,18
whose,18
is_default_constructible,18
bar,18
still,18
f2,18
argument,18
pointers,18
alpha,17
Ints,17
always,17
Ts,17
required,17
KeyT,17
ret,17
Op,17
replacement,17
cstring,17
contents,17
j.assert_invariant,17
j.m_type,17
vec,17
Constructing,17
family,17
ifndef,17
json_ref,17
"2021,1,0",17
F,17
NULL,17
//tools.ietf.org/html/rfc8259,17
operations,17
j.type_name,17
get_token_string,17
operation,17
use_type,17
JSON_HEDLEY_DIAGNOSTIC_DISABLE_DEPRECATED,17
BF,17
get_token,17
primitive_iterator_t,17
/////////////////////,16
E,16
CompatibleObjectType,16
v56,16
30,16
sPtr,16
demonstrates,16
written,16
helps,16
:to_json,16
it-,16
"4,0,0",16
:p,16
Destructing,16
timeStart,16
:swap,16
No,16
sign,16
operator==,16
rest,16
fun1,16
part,16
get_ref,16
creation,16
:construct,16
supported,16
new_indent,16
clock,16
JSON_HEDLEY_DIAGNOSTIC_DISABLE_UNKNOWN_PRAGMAS,16
:object_t,16
_len,16
items,16
just,16
2019-07-24,16
show,16
less,16
lexer,16
describes,16
combine,16
process,16
2019-07-21,16
exemplifies,16
root,16
0x,16
