word,count
ascii,10
disp,10
HLOG,10
cc,10
IMPLIED,10
change,10
read_str,9
allocator,9
Mul,9
LF,9
curi,9
print_match,9
client_port,9
Thing,9
After,9
U,9
unlink,9
revlist,9
stat,9
block,9
res1,9
New,9
written,9
raw,9
smallest,9
down,9
i=1,9
SIGUSR1,9
try,9
bad,9
blocks,9
maximum,9
64,9
compression,9
Open,9
gmtime,9
ps,9
'\n,9
linking,9
child,9
very,9
characters,9
d.,9
char_read,9
non-stdc,9
X,9
elif,9
much,9
checks,9
ret,9
Compile,9
USHRT_MAX,9
F_EPSILON,9
F_MIN,9
-c,9
dlist_insert,9
compress,9
F_MAX,9
last_page,9
Integer,9
first_hexa,9
nfds,9
leak,9
sizer,9
startp,9
error_data,9
representable,9
Save,9
Add,9
text,9
CHAR_MIN,9
Malaise,9
hash,9
node_type,9
dlist_length,9
chars,9
fcntl.h,9
just,9
warnings,9
ca,9
defines,9
least,9
List,9
support,9
tcpdump_cmd,9
record,9
hash_table,9
ctype.h,9
Unsigned,9
LOG,9
event,9
service_fd,8
tmpurl,8
parse,8
request_len,8
variable,8
saved_mask,8
ON,8
server,8
fcntl,8
sent,8
providers,8
table,8
chaine2,8
Look,8
socket\n,8
current_time,8
size1,8
IS_NOT_FOUND,8
old,8
calls,8
're,8
pass,8
Ipm,8
UINT_MAX,8
delay,8
